name,nickname,wins,losses,draws,height_cm,weight_kg,reach_in_cm,stance,date_of_birth,sig_strikes_landed_min,sig_strike_acc,sig_strikes_absorbed_min,sig_strike_def,avg_takedowns_landed_15_min,takedown_acc,takedown_def,avg_sub_attempt_15_min
Cameron Smotherman,The Baby-Faced Killa,8,4,0,175.26,61.23,175.26,Orthodox,17/09/1997,4,36,13,35,0,0,0,4
Shane Campbell,Shaolin,14,6,0,182.88,70.31,180.34,Orthodox,21/01/1987,3.99,59,3.19,55,1.36,28,82,3.99
Melissa Gatto,,8,2,2,165.1,56.7,175.26,Orthodox,02/05/1996,3.98,48,3.13,54,1.18,21,63,3.98
Miguel Torres,,44,9,0,175.26,61.23,193.04,Orthodox,18/01/1981,3.98,43,1.86,74,0,0,17,3.98
Tai Tuivasa,Bam Bam,15,6,0,187.96,119.75,190.5,Southpaw,16/03/1993,3.98,49,4.98,43,0,0,54,3.98
Junior Albini,Baby,14,6,0,190.5,119.75,187.96,Orthodox,15/03/1991,3.98,51,6.08,52,1.54,37,100,3.98
Piotr Hallmann,Pletwal,18,6,0,175.26,70.31,180.34,Orthodox,25/08/1987,3.98,45,3.17,58,2.55,44,70,3.98
Joe Lowry,,9,2,0,180.34,70.31,185.42,Orthodox,12/12/1989,3.97,34,4.25,63,0,0,0,3.97
Lucie Pudilova,,14,8,0,172.72,61.23,170.18,Orthodox,13/06/1994,3.97,37,3.95,51,0.62,27,63,3.97
Marcus Brimage,The Bama Beast,7,7,0,162.56,61.23,180.34,Southpaw,06/04/1985,3.97,35,3.64,56,0.56,100,80,3.97
Martin Day,The Spartan,8,6,0,177.8,65.77,185.42,Orthodox,10/11/1988,3.97,45,3.79,53,0.72,60,65,3.97
Derek Anderson,Barbaric,14,3,0,182.88,70.31,,,,3.97,37,3.08,61,0.34,14,60,3.97
Carlos Candelario,The Cannon,8,3,0,172.72,56.7,172.72,Southpaw,04/06/1991,3.97,46,5.17,44,2.28,36,53,3.97
Thomas Gifford,The Young Lion,14,9,0,185.42,70.31,190.5,Orthodox,26/07/1992,3.97,37,6.45,37,0.5,33,33,3.97
Mark Godbeer,The Hand Of,13,4,0,193.04,108.86,195.58,Orthodox,22/11/1983,3.97,53,3.3,54,0,0,28,3.97
Chris Cope,C-Murder,8,4,0,182.88,77.11,182.88,Orthodox,05/03/1983,3.96,26,4.82,50,0,0,80,3.96
Brendan Allen,All In,22,5,0,187.96,83.91,190.5,Orthodox,28/12/1995,3.96,53,3.89,46,1.22,42,55,3.96
Alessio Sakara,Legionarius,19,11,0,182.88,83.91,182.88,Orthodox,02/09/1981,3.96,47,2.8,59,2.18,78,62,3.96
Kevin Aguilar,Angel of Death,17,5,0,170.18,70.31,185.42,Orthodox,07/09/1988,3.96,40,4.81,52,0.16,16,78,3.96
Johnny Case,Hollywood,22,6,0,177.8,70.31,182.88,Orthodox,28/06/1989,3.95,38,2.66,61,1.7,45,72,3.95
TJ Grant,,21,5,0,177.8,70.31,182.88,Orthodox,26/02/1984,3.95,54,3.21,56,1.63,43,36,3.95
Jeff Hughes,Lights Out,10,4,0,187.96,113.4,195.58,Orthodox,17/05/1988,3.95,51,3.67,60,0.71,50,45,3.95
Ilya Kotau,,1,2,0,,77.11,,,,3.94,40,4.38,44,6.57,100,100,3.94
Ariane Lipski,Queen of Violence,16,8,0,167.64,56.7,170.18,Orthodox,26/01/1994,3.94,39,4.2,51,0.54,50,78,3.94
Ricky Glenn,The Gladiator,22,8,2,182.88,70.31,177.8,Southpaw,12/04/1989,3.94,43,4.1,51,0.55,13,68,3.94
Anthony Njokuani,The Assassin,16,12,0,185.42,70.31,190.5,Orthodox,01/03/1980,3.94,46,2.41,65,0.5,45,53,3.94
Victor Valimaki,The Matrix,18,10,0,182.88,92.99,,Orthodox,,3.94,30,2.99,67,0.9,14,0,3.94
Phil Rowe,The Fresh Prince,10,4,0,190.5,77.11,203.2,Orthodox,18/07/1990,3.94,52,4.32,54,0.85,40,59,3.94
James McSweeney,The Hammer,15,15,0,193.04,104.33,195.58,Switch,24/10/1980,3.94,55,4.33,42,0.52,33,100,3.94
Frankie Saenz,,13,7,0,167.64,61.23,167.64,Orthodox,12/08/1980,3.94,47,3.5,52,1.74,31,61,3.94
Evangelista Santos,Cyborg,21,18,0,177.8,77.11,193.04,Orthodox,12/12/1977,3.94,36,6.01,49,0.78,100,50,3.94
Alejandro Villalobos,,17,5,0,170.18,65.77,,,,3.93,46,4.07,67,1,50,0,3.93
Jon Murphy,Man of Faith,6,4,0,190.5,117.93,,Orthodox,09/08/1977,3.93,66,8.85,43,0,0,0,3.93
Henry Cejudo,Triple C,16,3,0,162.56,61.23,162.56,Orthodox,09/02/1987,3.93,47,3.15,60,2.07,34,83,3.93
Anthony Birchak,El Toro,16,8,0,172.72,61.23,175.26,Orthodox,16/05/1986,3.93,36,3.67,56,0.48,14,61,3.93
Mike Kyle,MAK,22,14,1,193.04,92.99,195.58,Orthodox,31/03/1980,3.93,51,3.35,49,1.33,62,50,3.93
Shane del Rosario,,11,2,0,193.04,113.4,,Southpaw,23/09/1983,3.93,60,2.97,54,1.2,40,16,3.93
Israel Adesanya,The Last Stylebender,24,3,0,193.04,83.91,203.2,Switch,22/07/1989,3.93,48,3.11,56,0.05,14,77,3.93
Allan Zuniga,Tigre,13,1,0,170.18,70.31,177.8,Orthodox,04/04/1992,3.93,52,1.8,61,0,0,57,3.93
Chan Sung Jung,The Korean Zombie,17,8,0,170.18,65.77,182.88,Orthodox,17/03/1987,3.93,41,4.52,52,0.7,44,72,3.93
Luiz Dutra,Besouro,13,6,1,180.34,77.11,,Orthodox,06/05/1982,3.92,50,4.8,41,0,0,100,3.92
Steve Steinbeiss,The Hooligan,9,4,0,190.5,83.91,190.5,Orthodox,05/05/1981,3.92,55,1.86,49,0.44,50,58,3.92
Hunter Azure,,9,2,0,172.72,65.77,175.26,Orthodox,02/03/1992,3.92,53,2.08,58,1.97,34,67,3.92
Thiago Silva,,19,6,0,187.96,92.99,187.96,Orthodox,12/11/1982,3.92,50,2.55,67,1.03,47,70,3.92
Anthony Hamilton,Freight Train,15,9,0,195.58,117.93,193.04,Orthodox,14/04/1980,3.91,65,3.02,45,2.62,42,78,3.91
Dominick Cruz,The Dominator,24,4,0,172.72,61.23,172.72,Orthodox,09/03/1985,3.91,33,2.61,70,2.82,42,83,3.91
Enrique Barzola,El Fuerte,17,5,2,170.18,65.77,177.8,Orthodox,28/04/1989,3.91,41,2.97,68,4.2,45,66,3.91
Greg Scott,,3,4,0,175.26,65.77,,,,3.9,55,7.79,37,11.69,100,0,3.9
Steve Kozola,,8,0,0,,70.31,,,,3.9,39,4.36,50,2.34,100,100,3.9
Fabian Gonzalez,,2,1,0,177.8,61.23,,,,3.9,48,4.39,51,0,0,66,3.9
Sergei Kharitonov,,26,6,0,182.88,111.13,,Orthodox,18/08/1980,3.9,44,3.03,54,1.16,53,70,3.9
Austin Vanderford,AK-47,4,0,0,180.34,77.11,,Orthodox,21/03/1990,3.9,52,5.19,45,0,0,100,3.9
John Adajar,The Outlaw,6,2,0,175.26,77.11,190.5,Orthodox,22/06/1991,3.9,52,6.28,44,0,0,0,3.9
Roger Bowling,Relentless,12,6,0,175.26,70.31,172.72,Orthodox,05/12/1982,3.9,47,3.86,51,3.09,43,27,3.9
Jacob Malkoun,Mamba,7,3,0,175.26,83.91,185.42,Orthodox,26/08/1995,3.89,56,2.49,50,7.2,44,0,3.89
Kailin Curran,,4,5,0,162.56,52.16,165.1,Orthodox,11/04/1991,3.89,43,4.75,53,2,57,61,3.89
Henrique da Silva,Frankenstein,14,5,0,190.5,92.99,193.04,Orthodox,01/09/1989,3.89,60,5.28,40,0.25,14,22,3.89
Sergio Pettis,,18,5,0,167.64,56.7,175.26,Orthodox,18/08/1993,3.88,37,2.91,65,0.85,40,67,3.88
Kevin Lee,The Motown Phenom,18,8,0,175.26,77.11,195.58,Orthodox,04/09/1992,3.88,42,3.6,50,3.18,43,75,3.88
Nathan Coy,Soulforce,15,7,0,177.8,77.11,175.26,Southpaw,24/07/1978,3.88,52,2.4,61,3.17,47,50,3.88
Johnny Walker,,21,7,0,198.12,92.99,208.28,Orthodox,30/03/1992,3.87,56,2.64,45,0.5,100,57,3.87
Brian Lo-A-Njoe,,6,10,3,170.18,70.31,,Orthodox,,3.87,42,0,0,0,0,66,3.87
Nazareno Malegarie,El Tigre,28,4,0,172.72,70.31,,,,3.87,34,3.27,69,1,33,0,3.87
Hamdy Abdelwahab,The Hammer,5,0,0,187.96,119.75,182.88,Southpaw,22/01/1993,3.87,52,3.13,59,3,75,0,3.87
Oban Elliott,The Welsh Gangster,9,2,0,182.88,77.11,182.88,Orthodox,19/12/1997,3.87,44,2.8,61,4,44,0,3.87
Dennis Siver,,23,11,0,167.64,65.77,177.8,Orthodox,13/01/1979,3.87,32,2.67,65,0.87,32,65,3.87
Ramona Pascual,,6,5,0,170.18,61.23,167.64,Southpaw,23/09/1988,3.87,57,8.43,46,1.81,19,100,3.87
Tyson Nam,,21,14,1,170.18,56.7,172.72,Orthodox,06/10/1983,3.87,33,4.97,65,0,0,87,3.87
Joaquin Buckley,New Mansa,17,6,0,177.8,77.11,193.04,Southpaw,27/04/1994,3.87,33,3.31,57,1.51,36,65,3.87
Mark Vorgeas,,5,3,1,177.8,61.23,,,,3.87,32,4.19,51,0,0,50,3.87
Richie Santiago,The Milford Mauler,7,2,0,170.18,61.23,170.18,Southpaw,10/10/1992,3.87,49,4.87,42,0,0,25,3.87
Austin Lingo,Lights Out,9,3,0,177.8,65.77,177.8,Orthodox,10/07/1994,3.86,37,4.86,57,0.43,66,75,3.86
Luana Pinheiro,,11,1,0,157.48,52.16,157.48,Orthodox,18/11/1992,3.86,39,3.67,63,2.83,50,50,3.86
Curtis Millender,Curtious,17,5,0,187.96,77.11,193.04,Orthodox,01/12/1987,3.86,46,2.95,61,0.43,100,57,3.86
Antonina Shevchenko,La Pantera,10,4,0,172.72,56.7,170.18,Southpaw,20/11/1984,3.86,55,2.93,52,0.43,42,53,3.86
Jessica Eye,Evil,15,11,0,167.64,56.7,167.64,Orthodox,27/07/1986,3.86,37,4.19,55,0.58,40,57,3.86
Misha Cirkunov,,15,9,0,190.5,92.99,195.58,Orthodox,27/02/1987,3.86,51,3.06,57,4.15,39,76,3.86
Ken Stone,,11,4,0,172.72,61.23,180.34,Southpaw,08/10/1982,3.85,49,2.9,48,1.24,33,60,3.85
Elias Urbina,,3,1,0,190.5,83.91,195.58,Southpaw,09/10/1993,3.85,37,6.17,50,0,0,0,3.85
Adam Milstead,The Prototype,8,4,0,190.5,92.99,193.04,Orthodox,03/07/1987,3.85,46,4.79,43,0,0,64,3.85
Robbie Lawler,Ruthless,30,16,0,180.34,77.11,187.96,Southpaw,20/03/1982,3.85,47,4.67,59,0.65,64,65,3.85
Simeon Thoresen,The Grin,17,6,1,185.42,77.11,200.66,Orthodox,14/03/1984,3.85,43,3.85,64,1.12,40,50,3.85
Irina Alekseeva,Russian Ronda,5,2,0,172.72,61.23,170.18,Orthodox,27/06/1990,3.84,43,3.55,48,0.87,20,100,3.84
Richard Walsh,Filthy Rich,9,5,0,182.88,77.11,185.42,Orthodox,01/12/1988,3.84,46,2.72,58,1.55,40,66,3.84
Sean Pierson,The Punisher,14,6,0,182.88,77.11,193.04,Southpaw,10/03/1976,3.84,39,3.73,64,0.39,18,66,3.84
Justin Lawrence,The American Kidd,10,4,0,172.72,65.77,170.18,Orthodox,15/05/1990,3.84,35,2.83,67,0.72,28,73,3.84
Herdem Alacabek,,5,1,0,187.96,92.99,190.5,Orthodox,07/06/1991,3.84,65,6.66,23,2.06,50,42,3.84
David Zawada,Sagat,17,7,0,182.88,77.11,190.5,Orthodox,01/08/1990,3.84,41,4.54,55,0.97,33,57,3.84
Jack Shore,Tank,17,1,0,172.72,61.23,180.34,Orthodox,06/02/1995,3.84,58,2.2,57,3.42,40,79,3.84
Felice Herrig,Lil Bulldog,14,10,0,162.56,52.16,165.1,Orthodox,18/09/1984,3.84,37,5.19,48,1.08,28,75,3.84
Andre Fili,Touchy,22,10,0,180.34,65.77,187.96,Orthodox,25/06/1990,3.83,37,4.13,51,2.22,47,69,3.83
Kazuma Maruyama,Gluttony,11,7,0,180.34,70.31,182.88,Orthodox,19/07/1992,3.83,41,2.23,53,4.79,33,100,3.83
Marcel Fortuna,,9,3,0,185.42,92.99,187.96,Orthodox,22/10/1985,3.83,46,4.52,64,0.45,8,75,3.83
Austin Hubbard,Thud,16,7,0,177.8,70.31,180.34,Orthodox,22/12/1991,3.83,46,3.37,56,1.55,52,63,3.83
Danny Navarro,,17,7,0,177.8,70.31,,,,3.83,32,4.62,57,2.17,25,100,3.83
Tom Duquesnoy,Fire Kid,16,2,0,170.18,61.23,172.72,Orthodox,21/06/1993,3.83,45,5.3,62,0.42,25,46,3.83
Arman Tsarukyan,Ahalkalakets,20,3,0,170.18,70.31,182.88,Orthodox,11/10/1996,3.82,48,1.91,54,3.43,36,75,3.82
Alonzo Menifield,Atomic,14,3,1,182.88,92.99,193.04,Orthodox,18/10/1987,3.82,57,3.09,52,0.62,30,75,3.82
Justin Wilcox,Silverback,14,7,0,167.64,70.31,,Orthodox,12/03/1979,3.82,28,2.63,71,1.43,16,100,3.82
Tony Gravely,,23,9,0,165.1,61.23,175.26,Orthodox,28/09/1991,3.82,48,4.47,44,5.4,41,52,3.82
Albert Morales,The Warrior,7,4,1,175.26,61.23,182.88,Orthodox,25/05/1991,3.81,35,3.96,56,0.91,35,70,3.81
Takanori Gomi,The Fireball Kid,35,14,0,170.18,70.31,177.8,Southpaw,22/09/1978,3.81,41,3.52,60,1.23,65,63,3.81
Alptekin Ozkilic,The Turkish Delight,9,5,0,165.1,56.7,165.1,Orthodox,27/03/1986,3.81,32,5.72,59,4.21,58,75,3.81
Rick Story,The Horror,19,9,0,175.26,77.11,180.34,Southpaw,28/08/1984,3.8,41,2.17,62,2.53,48,63,3.8
Jair Farias,Chosen,10,1,0,185.42,65.77,193.04,Orthodox,16/03/1993,3.8,39,5.33,51,0,0,41,3.8
Maurice Mitchell,The AK Kid,11,2,0,175.26,65.77,,Orthodox,29/06/1987,3.8,55,3.54,60,0,0,100,3.8
Brandon Moreno,The Assassin Baby,21,7,2,170.18,56.7,177.8,Orthodox,07/12/1993,3.8,43,3.4,56,1.73,45,64,3.8
Daniel Barez,,16,6,0,167.64,56.7,167.64,Orthodox,10/12/1988,3.8,53,5.32,55,4.07,31,91,3.8
Daichi Abe,,6,2,0,180.34,77.11,180.34,Orthodox,27/11/1991,3.8,33,4.49,56,0.33,50,0,3.8
Muhammed Lawal,King Mo,21,6,0,182.88,92.99,198.12,Southpaw,11/01/1981,3.79,52,1.61,66,5.96,75,87,3.79
Ricardo Abreu,Demente,5,1,0,180.34,83.91,,Orthodox,27/04/1984,3.79,31,3.98,68,2.13,42,100,3.79
Nate Mohr,,9,7,0,175.26,70.31,182.88,Orthodox,03/03/1983,3.79,41,2.5,74,0.45,50,71,3.79
Beneil Dariush,,22,5,1,177.8,70.31,182.88,Southpaw,06/05/1989,3.79,49,2.63,58,1.91,34,80,3.79
Sam Hughes,Sampage,8,5,0,165.1,52.16,162.56,Orthodox,28/06/1992,3.79,46,4.23,54,1.12,41,57,3.79
Andrei Arlovski,The Pitbull,34,22,0,190.5,108.86,195.58,Orthodox,04/02/1979,3.78,45,3.2,57,0.39,36,76,3.78
Aspen Ladd,,9,3,0,167.64,61.23,167.64,Orthodox,01/03/1995,3.78,47,4.65,47,1.56,47,62,3.78
Georges St-Pierre,Rush,26,2,0,180.34,83.91,193.04,Orthodox,19/05/1981,3.78,53,1.4,72,4.16,74,83,3.78
Joachim Christensen,,14,6,0,190.5,92.99,193.04,Orthodox,07/11/1978,3.78,41,3.29,46,0,0,0,3.78
Renan Barao,The Baron,34,9,0,167.64,65.77,177.8,Orthodox,31/01/1987,3.78,36,3.9,57,1.49,41,91,3.78
TJ O'Brien,The Spider,20,8,0,187.96,70.31,,Orthodox,01/01/1987,3.77,46,4.78,57,0.94,100,0,3.77
Frankie Edgar,The Answer,23,11,1,167.64,61.23,172.72,Orthodox,16/10/1981,3.77,40,2.82,65,2.29,31,65,3.77
Harvey Park,Fightbot,12,3,0,182.88,70.31,177.8,Orthodox,22/03/1986,3.77,50,7.21,33,0,0,0,3.77
Wendell Oliveira Marques,The Machine,29,10,0,177.8,77.11,,Orthodox,01/06/1983,3.77,47,4.4,47,0,0,100,3.77
Dan Ige,50K,17,7,0,170.18,65.77,180.34,Orthodox,06/08/1991,3.76,45,3.53,57,1.07,26,58,3.76
Lu Kai,The Last Gladiator,8,5,0,175.26,65.77,175.26,Orthodox,01/03/1994,3.76,43,5.51,55,2.62,50,100,3.76
Junie Browning,,5,6,0,175.26,70.31,,Orthodox,12/05/1984,3.76,48,1.76,66,3.53,66,0,3.76
Robert Peralta,Problems,18,8,0,172.72,65.77,180.34,Orthodox,14/03/1986,3.76,44,2.97,53,0.59,66,65,3.76
Matt Brown,The Immortal,26,19,0,182.88,77.11,190.5,Orthodox,10/01/1981,3.76,55,2.92,55,1.68,46,63,3.76
Alex White,The Spartan,13,6,0,182.88,70.31,180.34,Southpaw,22/10/1988,3.76,42,3.07,60,0.92,28,71,3.76
Albert Tumenov,Einstein,18,4,0,180.34,77.11,185.42,Orthodox,26/12/1991,3.76,42,3.34,58,0.2,20,75,3.76
Chris Lytle,Lights Out,31,18,5,180.34,77.11,172.72,Orthodox,18/08/1974,3.76,45,3.03,58,0.7,55,55,3.76
Reginaldo Vieira,,13,5,0,170.18,61.23,165.1,Orthodox,26/11/1982,3.76,40,2.89,59,1.97,27,25,3.76
Luke Stewart,,6,3,0,180.34,77.11,,Orthodox,,3.75,56,2.34,53,3.75,33,50,3.75
Alessandro Costa,Nono,13,4,0,162.56,56.7,170.18,Orthodox,28/01/1996,3.75,46,3.61,56,0.31,16,90,3.75
Gegard Mousasi,,42,6,2,187.96,83.91,193.04,Orthodox,01/08/1985,3.75,50,1.21,68,1.59,60,59,3.75
Rory MacDonald,Red King,19,4,0,182.88,77.11,193.04,Orthodox,22/07/1989,3.75,42,2.8,62,1.77,47,88,3.75
Kron Gracie,,5,2,0,175.26,65.77,177.8,Southpaw,11/07/1988,3.74,44,6.82,53,0.47,25,0,3.74
Won Jin Eoh,,5,5,1,170.18,72.57,,Orthodox,,3.74,44,3.58,46,0,0,50,3.74
Izabela Badurek,,6,3,0,165.1,52.16,,Orthodox,11/07/1991,3.74,71,4.9,32,1.75,12,100,3.74
Gregor Gillespie,The Gift,14,1,0,170.18,70.31,180.34,Orthodox,13/11/1986,3.74,52,2.3,57,6.86,48,100,3.74
Tucker Lutz,Top Gun,12,4,0,172.72,65.77,182.88,Orthodox,12/07/1994,3.74,46,3.25,44,1.99,44,69,3.74
Ode Osbourne,The Jamaican Sensation,12,6,0,170.18,56.7,185.42,Southpaw,09/01/1992,3.74,39,4.41,45,1.37,27,68,3.74
Khalil Rountree Jr.,,13,5,0,185.42,92.99,193.04,Southpaw,26/02/1990,3.73,38,4.16,50,0,0,56,3.73
Glover Teixeira,,33,9,0,187.96,92.99,193.04,Orthodox,28/10/1979,3.73,49,4.43,51,2.11,33,60,3.73
Kali Robbins,Pop Tart,6,3,0,160.02,52.16,160.02,Orthodox,05/07/1984,3.73,46,9.4,44,2,33,0,3.73
Stevie Ray,Braveheart,23,9,0,177.8,70.31,177.8,Southpaw,25/03/1990,3.73,44,2.93,54,0.75,46,55,3.73
Gina Mazany,Danger,7,6,0,167.64,56.7,172.72,Southpaw,19/08/1988,3.73,50,3.52,50,4.34,52,33,3.73
Bruno Souza,The Tiger,10,3,0,177.8,65.77,177.8,Orthodox,07/03/1996,3.73,39,5.3,45,0.5,16,60,3.73
Joey Gomez,,7,1,0,177.8,70.31,180.34,Orthodox,29/08/1989,3.73,49,3.33,50,2,28,0,3.73
Yuma Horiuchi,Ichiban,9,5,0,167.64,56.7,170.18,Switch,22/09/1997,3.73,30,5,35,2,16,0,3.73
Thiago Alves,Pitbull,23,15,0,175.26,77.11,177.8,Orthodox,03/10/1983,3.73,41,3.42,62,0.71,60,63,3.73
Abus Magomedov,,25,6,1,187.96,83.91,198.12,Orthodox,02/09/1990,3.73,42,5.36,54,0.61,50,100,3.73
Akitoshi Tamura,The Ironman,21,18,2,175.26,61.23,177.8,Orthodox,31/05/1980,3.73,43,1.94,78,0,0,20,3.73
Josefine Knutsson,Thunder,7,0,0,160.02,52.16,152.4,Orthodox,16/01/1996,3.73,52,1.33,64,2.67,72,100,3.73
Jessica-Rose Clark,,11,9,0,165.1,61.23,162.56,Orthodox,28/11/1987,3.73,51,3.51,58,1.66,42,62,3.73
Bevon Lewis,,7,3,0,190.5,83.91,200.66,Orthodox,05/05/1991,3.73,43,2.67,54,0,0,66,3.73
Garett Whiteley,Goodnight,7,3,0,182.88,70.31,182.88,Orthodox,13/12/1980,3.72,48,4.04,46,0,0,27,3.72
Thiago Santos,Marreta,22,11,0,187.96,92.99,193.04,Orthodox,07/01/1984,3.72,48,2.57,53,0.88,33,65,3.72
Kenny Robertson,,15,5,0,177.8,77.11,187.96,Orthodox,14/02/1984,3.72,47,3.02,52,1.37,26,57,3.72
Ben Rothwell,,39,14,0,193.04,120.2,198.12,Orthodox,17/10/1981,3.71,42,4.63,47,0.68,34,70,3.71
Jay Perrin,The Joker,10,7,0,170.18,61.23,170.18,Switch,15/06/1993,3.71,46,3.9,44,2.83,52,58,3.71
Jonas Bilharinho,,9,1,1,180.34,65.77,190.5,Switch,22/05/1990,3.71,60,3.36,57,0,0,100,3.71
Eric Spicely,Zebrinha,12,6,0,185.42,83.91,185.42,Orthodox,29/09/1986,3.71,45,5.72,55,1.31,20,75,3.71
Tyson Griffin,,16,8,0,167.64,65.77,172.72,Orthodox,20/04/1984,3.71,41,2.3,65,1.87,46,59,3.71
Joaquim Silva,Netto BJJ,12,5,0,172.72,70.31,175.26,Southpaw,05/02/1989,3.71,40,4.79,52,0.17,50,58,3.71
Miranda Maverick,Fear The,14,5,0,160.02,56.7,165.1,Southpaw,01/07/1997,3.71,46,2.62,59,2.41,48,42,3.71
Matt Frevola,The SteamRolla,11,4,1,175.26,70.31,180.34,Orthodox,11/06/1990,3.71,42,3.57,59,2.59,40,42,3.71
Alexander Morgan,The Chess Master,11,5,0,177.8,65.77,180.34,Orthodox,14/05/1991,3.71,44,2.78,47,0,0,0,3.71
Desmond Green,The Predator,23,8,0,177.8,70.31,185.42,Southpaw,11/10/1989,3.7,46,2.51,69,1.62,50,75,3.7
Sherrard Blackledge,The Thriller,5,1,0,180.34,70.31,190.5,Orthodox,16/08/1993,3.7,49,3.13,55,4,33,42,3.7
Drew Dimanlig,,3,4,0,,83.91,,,,3.7,73,3.17,20,0,0,0,3.7
Matt Ricehouse,,6,1,0,,70.31,,,,3.7,44,4.8,47,1,22,81,3.7
Alexander Munoz,,7,2,0,175.26,70.31,182.88,Switch,27/02/1990,3.7,42,4.73,55,3,40,100,3.7
Paul Felder,The Irish Dragon,17,6,0,180.34,70.31,177.8,Orthodox,25/04/1984,3.7,44,3.44,48,0.29,28,64,3.7
Mitch Ramirez,,7,1,0,180.34,77.11,180.34,Orthodox,03/11/1992,3.69,52,4.81,36,2.41,100,0,3.69
Tiago dos Santos e Silva,Trator,20,7,2,175.26,65.77,177.8,Orthodox,12/04/1987,3.69,35,4.23,59,0.63,11,33,3.69
Mark Cherico,The Pride of Bloomfield,11,1,0,170.18,65.77,175.26,Orthodox,12/05/1986,3.69,34,7.37,56,5.03,50,0,3.69
Richie Vaculik,Vas,10,4,0,167.64,56.7,175.26,Orthodox,19/06/1983,3.69,46,4.09,57,3,45,31,3.69
Heather Clark,Hurricane,7,6,0,167.64,52.16,162.56,Orthodox,19/09/1980,3.69,49,5.62,50,0.33,4,80,3.69
Matt Hamill,The Hammer,12,8,0,185.42,92.99,193.04,Orthodox,05/10/1976,3.69,42,3.8,61,3,34,91,3.69
Thibault Gouti,GT,12,5,0,177.8,70.31,182.88,Orthodox,27/02/1987,3.68,34,5.64,50,1.23,80,83,3.68
Josh Quinlan,Bushido,6,1,0,182.88,77.11,182.88,Orthodox,06/02/1993,3.68,41,5.97,50,0.84,12,60,3.68
Rose Namajunas,Thug,12,6,0,165.1,56.7,165.1,Orthodox,29/06/1992,3.68,40,3.53,62,1.49,48,60,3.68
Lance Benoist,,7,2,0,180.34,77.11,182.88,Southpaw,26/08/1988,3.68,51,2.7,56,1.5,33,61,3.68
KJ Noons,King,13,9,0,177.8,70.31,177.8,Orthodox,07/12/1982,3.68,35,3.78,65,0.08,20,68,3.68
Jimmy Crute,,12,4,1,187.96,92.99,187.96,Orthodox,04/03/1996,3.68,54,3.04,44,4.84,57,60,3.68
Anna Elmose,Panda,3,2,0,160.02,52.16,,Orthodox,06/10/1984,3.68,49,4.64,56,0,0,33,3.68
Ross Pearson,The Real Deal,20,16,0,172.72,70.31,175.26,Orthodox,26/09/1984,3.68,40,4.09,62,0.74,35,75,3.68
Aleksei Kunchenko,,20,2,0,172.72,77.11,177.8,Orthodox,02/05/1984,3.67,44,2.83,63,0.25,33,80,3.67
Vinicius Queiroz,Spartan,8,4,0,200.66,99.79,,Orthodox,29/08/1983,3.67,51,4.1,41,5.07,70,100,3.67
Geraldo de Freitas,Spartan,12,6,0,170.18,61.23,182.88,Orthodox,30/09/1991,3.67,52,2.62,50,3,45,59,3.67
Kyle Watson,,13,8,1,182.88,70.31,,Southpaw,09/08/1979,3.67,35,3.25,62,0,0,100,3.67
Naoki Inoue,,11,1,0,175.26,56.7,180.34,Orthodox,14/06/1997,3.67,35,3.37,60,0,0,60,3.67
Alistair Overeem,The Demolition Man,47,19,0,193.04,120.2,203.2,Orthodox,17/05/1980,3.67,64,2.44,57,1.42,55,73,3.67
Elias Silverio,Xuxu,13,3,0,180.34,70.31,185.42,Orthodox,22/09/1986,3.67,49,2.97,51,1.62,38,85,3.67
Akira Kikuchi,,16,4,0,172.72,70.31,,Orthodox,23/07/1978,3.67,56,0.4,14,2,40,100,3.67
Rayanne Amanda,,11,6,0,157.48,52.16,157.48,Orthodox,08/06/1995,3.67,31,6.87,57,1,25,0,3.67
Francis Marshall,Fire,7,2,0,175.26,65.77,182.88,Orthodox,03/03/1999,3.66,33,4.07,53,3.29,50,0,3.66
Damien Brown,Beatdown,17,12,0,177.8,70.31,172.72,Orthodox,25/12/1984,3.66,38,4.86,50,0.68,27,53,3.66
Carlos Condit,The Natural Born Killer,32,14,0,187.96,77.11,190.5,Orthodox,26/04/1984,3.66,39,2.67,55,0.59,46,38,3.66
Matheus Nicolau,,19,4,1,167.64,56.7,167.64,Orthodox,06/01/1993,3.66,53,3.14,66,1.48,45,93,3.66
Alejandro Flores,El Gallito,17,3,0,177.8,65.77,185.42,Orthodox,06/08/1991,3.66,40,2.02,54,0,0,0,3.66
Nordine Taleb,,15,7,0,185.42,77.11,187.96,Orthodox,10/06/1981,3.66,51,2.62,66,1.94,76,73,3.66
Ike Villanueva,Hurricane,18,14,0,185.42,92.99,185.42,Orthodox,04/04/1984,3.66,38,7.24,36,0.6,50,100,3.66
Douglas Silva de Andrade,D Silva,29,5,0,170.18,61.23,172.72,Orthodox,22/06/1985,3.66,38,3.99,58,0.61,46,70,3.66
Luis Pena,Violent Bob Ross,9,3,0,190.5,70.31,190.5,Southpaw,05/07/1993,3.66,46,3.12,51,1.17,33,48,3.66
Zarrukh Adashev,The Lion,4,4,0,165.1,56.7,165.1,Southpaw,29/07/1992,3.65,40,3.04,64,0,0,100,3.65
Kazula Vargas,,12,5,0,172.72,70.31,180.34,Southpaw,15/08/1985,3.65,53,1.77,57,0.4,25,30,3.65
